Location,Total Medicare Part A Enrollees,Total Hospitals,Total Hospital Beds,"Total Hospital Beds Per 1,000 Part A Enrollees",Short Stay Hospitals,Short Stay Hospital Beds,"Short Stay Hospital Beds Per 1,000 Part A Enrollees",Critical Access Hospitals,Critical Access Hospital Beds,"Critical Access Hospital Beds Per 1,000 Part A Enrollees",All Other Hospitals,All Other Hospital Beds,"All Other Hospital Beds Per 1,000 Part A Enrollees"
United States,"62,256,004","6,200","918,081",14.75,"3,448","764,875",12.29,"1,358","31,519",0.51,"1,394","121,687",1.95
Alabama,"1,064,241",115,"18,233",17.13,83,"16,309",15.32,5,115,0.11,27,"1,809",1.7
Alaska,"107,685",24,"1,714",15.92,8,"1,210",11.24,13,210,1.95,3,294,2.73
Arizona,"1,390,096",126,"17,984",12.94,69,"14,108",10.15,16,373,0.27,41,"3,503",2.52
Arkansas,"651,534",109,"12,486",19.16,50,"9,341",14.34,28,687,1.05,31,"2,458",3.77
California,"6,369,388",470,"79,940",12.55,350,"71,327",11.2,36,903,0.14,84,"7,710",1.21
Colorado,"950,159",107,"13,563",14.27,51,"10,544",11.1,32,708,0.75,24,"2,311",2.43
Connecticut,"700,548",39,"9,185",13.11,29,"7,884",11.25,0,0,0,10,"1,301",1.86
Delaware,"221,984",15,"3,181",14.33,6,"2,337",10.53,0,0,0,9,844,3.8
District of Columbia,"93,000",12,"3,747",40.29,6,"2,749",29.56,0,0,0,6,998,10.73
Florida,"4,797,174",275,"65,654",13.69,193,"59,767",12.46,10,262,0.05,72,"5,625",1.17
Georgia,"1,789,607",173,"24,155",13.5,109,"20,471",11.44,30,742,0.41,34,"2,942",1.64
Hawaii,"288,053",26,"2,632",9.14,12,"2,054",7.13,9,114,0.4,5,464,1.61
Idaho,"361,466",52,"3,870",10.71,17,"2,773",7.67,27,538,1.49,8,559,1.55
Illinois,"2,269,454",202,"38,852",17.12,120,"33,675",14.84,51,"1,215",0.54,31,"3,962",1.75
Indiana,"1,299,250",168,"19,647",15.12,83,"16,318",12.56,35,879,0.68,50,"2,450",1.89
Iowa,"646,628",123,"11,110",17.18,32,"8,500",13.15,82,"2,001",3.09,9,609,0.94
Kansas,"555,031",148,"10,953",19.73,51,"8,217",14.8,82,"1,874",3.38,15,862,1.55
Kentucky,"939,806",114,"17,771",18.91,62,"14,490",15.42,28,689,0.73,24,"2,592",2.76
Louisiana,"892,142",209,"20,092",22.52,87,"14,591",16.36,27,665,0.75,95,"4,836",5.42
Maine,"354,220",38,"3,836",10.83,17,"2,944",8.31,16,400,1.13,5,492,1.39
Maryland,"1,073,247",59,"14,109",13.15,46,"12,044",11.22,0,0,0,13,"2,065",1.92
Massachusetts,"1,372,566",99,"18,781",13.68,56,"12,740",9.28,3,69,0.05,40,"5,972",4.35
Michigan,"2,128,779",158,"28,070",13.19,92,"24,373",11.45,37,936,0.44,29,"2,761",1.3
Minnesota,"1,067,444",140,"16,000",14.99,48,"13,297",12.46,77,"1,689",1.58,15,"1,014",0.95
Mississippi,"614,292",111,"12,544",20.42,64,"10,793",17.57,32,891,1.45,15,860,1.4
Missouri,"1,262,517",136,"21,684",17.18,70,"18,745",14.85,35,832,0.66,31,"2,107",1.67
Montana,"243,357",68,"3,174",13.04,15,"1,947",8,49,"1,013",4.16,4,214,0.88
Nebraska,"360,061",98,"6,234",17.31,26,"4,306",11.96,63,"1,330",3.69,9,598,1.66
Nevada,"559,260",57,"8,090",14.47,23,"6,301",11.27,13,219,0.39,21,"1,570",2.81
New Hampshire,"316,433",30,"3,562",11.26,13,"2,720",8.6,13,316,1,4,526,1.66
